
[xA, yA, xB, yB]
[15, 195, 86, 337]
[106, 183, 182, 335]
[108, 185, 182, 333]
[73, 309, 142, 447]
[113, 186, 185, 331]
[80, 315, 149, 453]
[114, 189, 186, 332]
[96, 307, 170, 454]
[32, 53, 239, 466]
[56, 61, 255, 458]
[56, 61, 255, 458]
[60, 69, 250, 449]
[61, 68, 255, 456]
[61, 68, 255, 456]
[61, 68, 255, 456]
[64, 50, 267, 455]
[68, 49, 263, 439]
[71, 56, 262, 437]
[74, 60, 259, 431]
[74, 59, 261, 434]
[76, 61, 258, 426]
[76, 55, 262, 426]
[82, 53, 266, 421]
[93, 63, 271, 418]
[96, 54, 277, 416]
[103, 57, 281, 413]
[105, 54, 280, 403]
[107, 45, 287, 405]
[110, 45, 289, 404]
[112, 44, 293, 405]
[116, 44, 292, 396]
[117, 44, 293, 395]
[125, 64, 294, 401]
[122, 46, 299, 400]
[125, 47, 297, 391]
[129, 51, 299, 391]
[135, 44, 302, 377]
[137, 36, 305, 371]
[144, 40, 308, 367]
[144, 38, 311, 371]
[144, 38, 311, 371]
[150, 43, 310, 364]
[148, 41, 312, 368]
[155, 38, 319, 366]
[161, 37, 324, 363]
[167, 36, 325, 351]
[167, 36, 327, 356]
[171, 39, 324, 344]
[169, 37, 324, 346]
[170, 35, 328, 351]
[174, 39, 326, 343]
[179, 40, 327, 335]
[181, 43, 325, 331]
[180, 42, 326, 334]
[181, 41, 326, 331]
[186, 37, 331, 327]
[189, 30, 333, 319]
[193, 31, 334, 312]
[194, 36, 333, 314]
[194, 33, 337, 319]
[194, 32, 341, 327]
[195, 32, 342, 326]
[205, 37, 342, 311]
[206, 35, 342, 306]
[208, 34, 345, 308]
[211, 34, 345, 302]
[213, 34, 348, 303]
[215, 36, 345, 296]
[216, 36, 348, 301]
[218, 38, 348, 297]
[218, 37, 349, 298]
[216, 36, 350, 303]
[220, 34, 344, 281]
[219, 33, 345, 285]
[221, 34, 344, 279]
[222, 33, 343, 275]
[223, 34, 342, 271]
[226, 33, 346, 273]
[225, 28, 351, 280]
[228, 33, 356, 290]
[227, 31, 357, 291]
[233, 36, 355, 279]
[238, 36, 355, 269]
[239, 38, 355, 269]
[241, 36, 355, 263]
[240, 34, 356, 267]
[239, 32, 357, 267]
[239, 32, 359, 271]
[241, 35, 358, 268]
[243, 36, 361, 271]
[247, 36, 358, 257]
[241, 30, 362, 272]
[246, 30, 361, 261]
[248, 28, 364, 260]
[254, 29, 364, 249]
[254, 30, 366, 254]
[255, 32, 367, 256]
[257, 34, 366, 252]
[260, 35, 372, 259]
[263, 34, 375, 259]
[267, 35, 375, 250]
[269, 36, 375, 248]
[269, 34, 377, 249]
[271, 30, 378, 244]
[272, 32, 379, 246]
[271, 29, 380, 247]
[271, 32, 379, 248]
[271, 32, 379, 248]
[271, 30, 379, 246]
[275, 32, 377, 236]
[275, 32, 377, 236]
[277, 31, 377, 231]
[276, 29, 377, 230]
[276, 27, 378, 230]
[275, 26, 378, 232]
[278, 30, 377, 228]
[277, 30, 378, 232]
[278, 33, 380, 236]
[282, 33, 378, 224]
[286, 39, 374, 215]
[286, 35, 381, 224]
[289, 37, 377, 214]
[293, 35, 381, 212]
[297, 35, 382, 206]
[298, 36, 382, 204]
[298, 37, 383, 206]
[298, 37, 381, 203]
[297, 36, 383, 209]
[298, 40, 383, 209]
[266, 118, 361, 307]
[298, 38, 384, 209]
[298, 38, 384, 209]
[298, 38, 384, 209]
[297, 34, 385, 210]
[296, 34, 384, 210]
[266, 118, 361, 307]
[300, 38, 381, 201]
[266, 118, 361, 307]
[299, 35, 384, 205]
[266, 118, 361, 307]
[298, 35, 384, 207]
[269, 125, 358, 303]
[300, 37, 384, 205]
[269, 125, 358, 303]
[300, 38, 386, 209]
[269, 125, 358, 303]
[299, 38, 386, 212]
[269, 125, 358, 303]
[301, 39, 387, 211]
[269, 125, 358, 303]
[301, 36, 390, 213]
[270, 127, 357, 301]
[303, 33, 389, 205]
[269, 124, 359, 303]
[306, 33, 389, 198]
[269, 122, 359, 303]
[306, 31, 389, 197]
[269, 124, 359, 303]
[306, 31, 389, 197]
[307, 32, 388, 194]
[309, 35, 390, 197]
[310, 35, 390, 194]
[311, 38, 388, 191]
[311, 37, 388, 191]
[311, 36, 389, 191]
[311, 35, 388, 189]
[266, 122, 358, 307]
[312, 34, 388, 186]
[266, 122, 358, 307]
[313, 33, 389, 185]
[313, 33, 389, 185]
[313, 28, 393, 187]
[313, 30, 392, 188]
[314, 34, 391, 188]
[314, 35, 391, 189]
[315, 35, 391, 187]
[316, 36, 392, 187]
[317, 33, 395, 188]
[315, 25, 399, 193]
[317, 26, 400, 192]
[317, 26, 400, 192]
[316, 24, 400, 193]
[317, 25, 400, 191]
[317, 26, 400, 191]
[317, 26, 400, 191]
[317, 26, 398, 187]
[317, 26, 399, 191]
[316, 27, 396, 187]
[316, 28, 396, 187]
[317, 32, 395, 188]
[316, 26, 397, 188]
[317, 28, 396, 186]
[317, 24, 398, 185]
[319, 24, 402, 189]
[319, 25, 402, 190]
[323, 28, 402, 185]
[323, 26, 404, 187]
[323, 26, 404, 187]
[323, 26, 404, 187]
[324, 28, 402, 185]
[327, 29, 404, 182]
[328, 31, 404, 183]
[328, 31, 404, 183]
[328, 31, 404, 182]
[328, 31, 404, 182]
[328, 31, 404, 183]
[328, 31, 401, 178]
[325, 26, 404, 183]
[314, 20, 412, 216]
[332, 27, 402, 167]
[330, 25, 410, 184]
[333, 28, 410, 181]
[333, 28, 410, 181]
[332, 27, 410, 184]
[333, 28, 410, 181]
[333, 27, 410, 181]
[335, 24, 413, 179]
[336, 27, 412, 180]
[335, 28, 413, 183]
[336, 28, 413, 181]
[337, 27, 413, 179]
[337, 27, 413, 179]
[336, 26, 414, 182]
[338, 26, 414, 179]
[339, 27, 414, 176]
[339, 26, 415, 177]
[339, 27, 415, 178]
[346, 28, 413, 162]
[346, 28, 413, 162]
[346, 28, 413, 162]
[346, 27, 418, 170]
[345, 26, 418, 171]
[347, 28, 420, 173]
[347, 28, 419, 171]
[346, 27, 418, 171]
[347, 28, 420, 173]
[347, 30, 418, 173]
[347, 30, 418, 173]
[347, 29, 422, 179]
[345, 25, 423, 180]
[346, 24, 424, 180]
[346, 25, 423, 179]
[347, 24, 426, 181]
[348, 23, 425, 177]
[350, 26, 426, 178]
[350, 24, 429, 181]
[350, 23, 429, 181]
[350, 22, 430, 181]
[354, 27, 431, 181]
[355, 26, 432, 179]
[355, 26, 432, 179]
[363, 30, 438, 180]
[363, 30, 438, 180]
[362, 24, 440, 180]
[362, 26, 441, 183]
[364, 24, 444, 183]
[364, 25, 445, 186]
[363, 24, 445, 188]
[363, 26, 445, 190]
[364, 27, 445, 190]
[364, 26, 446, 190]
[364, 28, 445, 191]
[365, 28, 446, 190]
[367, 29, 447, 189]
[366, 21, 450, 188]
[367, 24, 452, 194]
[367, 23, 454, 197]
[368, 22, 455, 195]
[371, 25, 455, 193]
[371, 25, 455, 193]
[371, 24, 457, 196]
[375, 23, 458, 188]
[380, 26, 458, 182]
[382, 22, 460, 177]
[381, 25, 461, 186]
[381, 25, 461, 184]
[382, 26, 461, 184]
[383, 23, 462, 180]
[386, 28, 462, 180]
[386, 29, 462, 182]
[386, 29, 462, 182]
[387, 33, 461, 182]
[388, 36, 461, 182]
[387, 34, 462, 184]
[387, 33, 463, 184]
[387, 30, 466, 187]
[387, 30, 466, 187]
[390, 32, 468, 188]
[391, 33, 467, 186]
[394, 36, 470, 187]
[394, 36, 470, 187]
[393, 29, 472, 187]
[394, 36, 470, 188]
[394, 36, 470, 188]
[396, 35, 471, 184]
[395, 37, 468, 183]
[395, 37, 468, 183]
[396, 39, 468, 183]
[392, 37, 467, 188]
[382, 0, 481, 199]
[388, 36, 466, 191]
[380, 0, 479, 199]
[385, 38, 461, 189]
[369, 233, 445, 385]
[366, 0, 465, 199]
[381, 35, 458, 189]
[376, 32, 459, 198]
[368, 235, 443, 386]
[376, 37, 450, 185]
[368, 40, 447, 198]
[366, 33, 445, 192]
[365, 40, 440, 189]
[365, 44, 437, 187]
[362, 43, 436, 191]
[361, 44, 436, 194]
[356, 41, 434, 197]
[354, 33, 432, 190]
[354, 33, 432, 190]
[355, 35, 431, 188]
[352, 34, 427, 183]
[347, 32, 426, 190]
[346, 33, 422, 186]
[343, 35, 419, 188]
[342, 38, 417, 187]
[337, 36, 416, 194]
[335, 34, 414, 192]
[331, 35, 407, 188]
[325, 35, 406, 196]
[325, 37, 406, 198]
[323, 32, 406, 197]
[323, 32, 406, 197]
[322, 32, 405, 198]
[322, 36, 400, 191]
[320, 36, 398, 191]
[323, 39, 394, 180]
[318, 35, 395, 188]
[315, 33, 393, 189]
[316, 34, 391, 185]
[313, 32, 393, 192]
[312, 36, 391, 194]
[313, 37, 389, 189]
[308, 31, 388, 191]
[308, 35, 384, 187]
[306, 36, 382, 187]
[304, 35, 382, 191]
[266, 118, 361, 307]
[305, 38, 380, 187]
[266, 122, 358, 307]
[306, 40, 379, 186]
[266, 122, 358, 307]
[304, 38, 378, 186]
[266, 122, 358, 307]
[305, 39, 379, 186]
[266, 122, 358, 307]
[303, 39, 378, 188]
[266, 122, 358, 307]
[303, 39, 378, 188]
[266, 122, 358, 307]
[304, 35, 380, 187]
[266, 122, 358, 307]
[306, 37, 381, 186]
[266, 122, 358, 307]
[307, 37, 382, 187]
[266, 122, 358, 307]
[306, 36, 383, 189]
[266, 122, 358, 307]
[306, 37, 383, 191]
[266, 122, 358, 307]
[309, 37, 384, 187]
[266, 118, 361, 307]
[310, 39, 384, 186]
[311, 39, 383, 183]
[309, 38, 383, 185]
[311, 42, 383, 186]
[314, 41, 386, 184]
[312, 40, 385, 186]
[312, 38, 389, 193]
[312, 37, 387, 187]
[314, 35, 391, 189]
[313, 34, 393, 193]
[316, 40, 394, 195]
[314, 36, 396, 200]
[318, 41, 397, 199]
[317, 33, 401, 200]
[319, 33, 402, 200]
[318, 31, 403, 202]
[318, 29, 404, 201]
[319, 31, 404, 201]
[319, 32, 403, 199]
[318, 31, 404, 202]
[319, 33, 403, 201]
[319, 34, 402, 200]
[319, 33, 403, 201]
[316, 34, 402, 206]
[317, 33, 404, 207]
[318, 37, 399, 200]
[315, 38, 398, 204]
[315, 35, 399, 204]
[317, 35, 400, 202]
[316, 36, 401, 206]
[339, 140, 427, 315]
[316, 39, 400, 206]
[316, 34, 404, 210]
[341, 140, 427, 312]
[316, 33, 405, 211]
[341, 140, 427, 312]
[317, 33, 406, 211]
[341, 140, 427, 312]
[317, 33, 409, 216]
[318, 33, 409, 215]
[344, 136, 432, 311]
[322, 37, 410, 212]
[345, 134, 432, 308]
[324, 33, 413, 211]
[346, 138, 431, 308]
[327, 35, 415, 211]
[346, 141, 429, 307]
[327, 36, 415, 212]
[346, 138, 431, 308]
[328, 36, 414, 208]
[346, 138, 431, 308]
[330, 37, 417, 210]
[346, 138, 431, 308]
[329, 39, 415, 212]
[348, 140, 430, 304]
[332, 39, 418, 211]
[352, 146, 429, 300]
[332, 40, 420, 216]
[331, 37, 423, 220]
[328, 34, 425, 228]
[351, 136, 436, 305]
[332, 35, 426, 223]
[333, 34, 426, 219]
[332, 31, 429, 224]
[335, 31, 432, 225]
[337, 33, 434, 226]
[341, 39, 436, 229]
[341, 35, 449, 250]
[347, 32, 453, 244]
[349, 32, 453, 241]
[351, 140, 436, 309]
[355, 35, 454, 232]
[356, 35, 454, 232]
[364, 42, 453, 220]
[364, 39, 458, 228]
[367, 43, 459, 228]
[365, 45, 459, 234]
[366, 45, 460, 233]
[366, 45, 460, 233]
[368, 42, 461, 227]
[368, 40, 461, 225]
[365, 37, 467, 242]
[364, 32, 470, 244]
[364, 34, 472, 250]
[362, 32, 474, 256]
[364, 34, 473, 252]
[364, 34, 475, 256]
[365, 34, 477, 257]
[364, 35, 476, 259]
[374, 44, 476, 248]
[379, 45, 478, 243]
[379, 45, 480, 247]
[379, 45, 480, 247]
[382, 44, 485, 249]
[382, 42, 484, 246]
[382, 42, 484, 246]
[382, 42, 484, 246]
[383, 44, 484, 246]
[380, 42, 484, 251]
[379, 45, 482, 251]
[377, 47, 480, 253]
[377, 46, 482, 257]
[377, 46, 482, 257]
[377, 46, 482, 257]
[378, 48, 482, 257]
[376, 47, 483, 261]
[378, 46, 487, 264]
[378, 49, 485, 263]
[379, 51, 486, 264]
[376, 41, 494, 277]
[377, 42, 492, 272]
[378, 44, 492, 273]
[378, 44, 492, 273]
[379, 42, 493, 270]
[378, 39, 495, 274]
[378, 41, 495, 275]
[378, 44, 492, 273]
[379, 46, 493, 274]
[372, 45, 492, 284]
[369, 44, 491, 288]
[369, 44, 491, 288]
[367, 45, 486, 284]
[359, 47, 481, 291]
[359, 44, 482, 289]
[358, 42, 484, 293]
[358, 42, 484, 293]
[355, 37, 485, 297]
[359, 44, 485, 295]
[354, 46, 484, 306]
[357, 39, 501, 326]
[352, 37, 497, 326]
[357, 43, 497, 323]
[357, 43, 497, 323]
